2025-06-08_09-50-16,000%,Main.hs:2025-06-08_09-50-16
2025-06-08_09-50-47,000%,Main.hs:2025-06-08_09-50-47
2025-06-08_09-51-02,000%,Main.hs:2025-06-08_09-51-02
2025-06-08_09-51-18,000%,Main.hs:2025-06-08_09-51-02
2025-06-08_09-51-54,000%,Main.hs:2025-06-08_09-51-54
2025-06-08_09-52-23,000%,Main.hs:2025-06-08_09-52-23
2025-06-08_09-54-55,000%,Main.hs:2025-06-08_09-54-55
2025-06-08_09-55-00,000%,Main.hs:2025-06-08_09-54-55
2025-06-08_09-56-05,000%,Main.hs:2025-06-08_09-56-05
2025-06-08_09-58-51,000%,Main.hs:2025-06-08_09-58-51
2025-06-08_10-00-54,025%,Main.hs:2025-06-08_10-00-54
2025-06-08_10-54-52,000%,Main.hs:2025-06-08_10-54-52
2025-06-08_10-57-12,100%,Main.hs:2025-06-08_10-57-12
2025-06-08_10-57-39,000%,Main.hs:2025-06-08_10-57-39
2025-06-08_10-57-45,100%,Main.hs:2025-06-08_10-57-45
